Year,South Asia,Sub-Saharan Africa,East Asia & Pacific,Latin America & Caribbean,Middle East & North Africa,North America,European Union
2001,2526216,2435790,938331,299016,251880,29637,24855
2002,2442280,2407899,883487,283218,243359,29577,24048
2003,2360315,2377459,831786,268239,236017,29584,23356
2004,2280741,2345962,789918,254218,229709,29601,22690
2005,2199734,2313011,740148,241159,224310,29558,22007
2006,2118223,2282480,700773,229221,219854,29402,21280
2007,2033977,2250145,664859,218508,216151,29096,20533
2008,1946870,2218669,637015,208904,213015,28634,19795
2009,1857858,2188277,602676,200374,210555,28039,19084
2010,1768337,2161426,573951,199888,208837,27368,18388
2011,1681033,2134590,546493,185669,207617,26670,17712
2012,1597597,2110241,519999,179388,206538,26007,17056
2013,1519449,2089280,494439,173528,204906,25413,16436
2014,1447048,2069826,469684,168006,202697,24908,15866
2015,1380565,2049955,445889,163037,199876,24499,15379
2016,1318896,2028743,422826,163050,196083,24189,14975
2017,1261364,2006569,400617,154787,191689,23947,14632
2018,1207447,1982588,379536,149490,187308,23700,14296
2019,1157349,1960819,360014,144373,182359,23418,13942