country,year,children_per_woman_total_fertility,government_health_spending_per_person_us,life_expectancy_years
Albania,1995,2.59,13.9,74.6
Albania,1996,2.51,17.1,74.4
Albania,1997,2.42,14.2,72.5
Albania,1998,2.33,18.6,74.5
Albania,1999,2.25,28.1,74.6
Albania,2000,2.16,27.2,74.9
Albania,2001,2.07,30.5,75.2
Albania,2002,1.98,32.5,75.3
Albania,2003,1.9,40.6,75.4
Albania,2004,1.82,63.9,75.6
Albania,2005,1.75,71.4,76
Albania,2006,1.7,75.5,76.4
Albania,2007,1.67,88.8,76.9
Albania,2008,1.65,109,77
Albania,2009,1.65,107,77.5
Albania,2010,1.65,94,77.6
Algeria,1995,3.45,46.8,72.9
Algeria,1996,3.21,48,73.3
Algeria,1997,2.99,49.7,73.2
Algeria,1998,2.8,48.7,73.5
Algeria,1999,2.64,45.5,73.9
Algeria,2000,2.51,45.9,74
Algeria,2001,2.44,52.5,74.2
Algeria,2002,2.4,54.1,74.5
Algeria,2003,2.41,62.6,74.6
Algeria,2004,2.44,63.2,75
Algeria,2005,2.5,69.3,75.3
Algeria,2006,2.58,81.7,75.5
Algeria,2007,2.66,109,75.7
Algeria,2008,2.75,148,75.9
Algeria,2009,2.83,143,76.1
Algeria,2010,2.89,139,76.3
Angola,1995,6.92,13.5,49.5
Angola,1996,6.85,8.72,50.1
Angola,1997,6.79,10.5,50.2
Angola,1998,6.73,6.65,49.3
Angola,1999,6.68,6.55,50.7
Angola,2000,6.64,12.5,51.7
Angola,2001,6.6,18.3,52.4
Angola,2002,6.57,14.3,53.5
Angola,2003,6.54,19.4,54.2
Angola,2004,6.5,19.7,54.8
Angola,2005,6.47,27.1,55.7
Angola,2006,6.42,50.9,56.4
Angola,2007,6.37,68.4,57.5
Angola,2008,6.31,126,58.4
Angola,2009,6.24,181,59.1
Angola,2010,6.16,102,59.9
Antigua and Barbuda,1995,2.21,233,74.1
Antigua and Barbuda,1996,2.25,227,74.2
Antigua and Barbuda,1997,2.28,246,74.4
Antigua and Barbuda,1998,2.3,264,74.5
Antigua and Barbuda,1999,2.32,278,74.6
Antigua and Barbuda,2000,2.32,281,74.7
Antigua and Barbuda,2001,2.31,266,74.9
Antigua and Barbuda,2002,2.29,267,75.2
Antigua and Barbuda,2003,2.27,279,75.4
Antigua and Barbuda,2004,2.25,291,75.6
Antigua and Barbuda,2005,2.22,305,75.8
Antigua and Barbuda,2006,2.2,351,76
Antigua and Barbuda,2007,2.18,397,76.3
Antigua and Barbuda,2008,2.16,409,76.4
Antigua and Barbuda,2009,2.15,403,76.6
Antigua and Barbuda,2010,2.13,490,76.6
Argentina,1995,2.76,368,73.3
Argentina,1996,2.71,357,73.3
Argentina,1997,2.66,373,73.5
Argentina,1998,2.62,383,73.5
Argentina,1999,2.59,400,73.6
Argentina,2000,2.56,382,74.2
Argentina,2001,2.54,367,74.3
Argentina,2002,2.52,121,74.2
Argentina,2003,2.5,148,74.3
Argentina,2004,2.47,174,74.9
Argentina,2005,2.45,217,75.3
Argentina,2006,2.43,259,75.4
Argentina,2007,2.41,334,75.1
Argentina,2008,2.4,437,75.5
Argentina,2009,2.38,488,75.6
Argentina,2010,2.37,405,75.8
Armenia,1995,1.8,7.97,69.9
Armenia,1996,1.8,8.16,70.3
Armenia,1997,1.7,7.36,71
Armenia,1998,1.5,10,71.5
Armenia,1999,1.4,9.63,71.9
Armenia,2000,1.3,7.07,72.3
Armenia,2001,1.2,11,72.6
Armenia,2002,1.2,10.6,72.7
Armenia,2003,1.4,13.9,72.9
Armenia,2004,1.4,16.3,73.2
Armenia,2005,1.4,23.6,73.4
Armenia,2006,1.3,33,73.6
Armenia,2007,1.4,48.3,73.9
Armenia,2008,1.4,63.5,73.8
Armenia,2009,1.6,56,73.9
Armenia,2010,1.55,54.2,74
Australia,1995,1.82,1030,78.2
Australia,1996,1.81,1150,78.3
Australia,1997,1.79,1180,78.6
Australia,1998,1.77,1050,78.9
Australia,1999,1.76,1190,79.3
Australia,2000,1.76,1150,79.5
Australia,2001,1.76,1080,80
Australia,2002,1.78,1240,80.2
Australia,2003,1.79,1540,80.5
Australia,2004,1.82,1920,80.8
Australia,2005,1.86,2100,81.2
Australia,2006,1.89,2220,81.4
Australia,2007,1.92,2670,81.4
Australia,2008,1.94,2880,81.5
Australia,2009,1.94,2680,81.7
Australia,2010,1.93,3250,82
Austria,1995,1.42,2110,76.8
Austria,1996,1.45,2050,77.1
Austria,1997,1.39,1930,77.6
Austria,1998,1.37,2020,77.8
Austria,1999,1.34,2050,78
Austria,2000,1.37,1820,78.3
Austria,2001,1.33,1820,78.7
Austria,2002,1.39,1950,78.9
Austria,2003,1.38,2410,79
Austria,2004,1.42,2790,79.4
Austria,2005,1.41,2920,79.6
Austria,2006,1.41,3040,80.1
Austria,2007,1.38,3520,80.2
Austria,2008,1.41,3980,80.4
Austria,2009,1.39,3910,80.3
Austria,2010,1.44,3840,80.6
Azerbaijan,1995,2.58,4.33,65
Azerbaijan,1996,2.45,6.02,65.3
Azerbaijan,1997,2.33,6.15,65.6
Azerbaijan,1998,2.21,5.04,65.9
Azerbaijan,1999,2.11,5.62,66.3
Azerbaijan,2000,2.03,5.64,66.8
Azerbaijan,2001,1.96,5.9,67.2
Azerbaijan,2002,1.91,5.96,67.3
Azerbaijan,2003,1.87,7.21,67.2
Azerbaijan,2004,1.84,10.5,67.4
Azerbaijan,2005,1.82,13.6,67.5
Azerbaijan,2006,1.82,20.8,68
Azerbaijan,2007,1.84,36.7,68.5
Azerbaijan,2008,1.87,45,68.8
Azerbaijan,2009,1.91,65.4,69.1
Azerbaijan,2010,1.96,67.3,69.3
Bahamas,1995,2.51,335,70.8
Bahamas,1996,2.44,353,70.5
Bahamas,1997,2.36,396,71.3
Bahamas,1998,2.26,458,71.8
Bahamas,1999,2.17,497,71.1
Bahamas,2000,2.07,523,71.5
Bahamas,2001,1.99,524,71.6
Bahamas,2002,1.93,556,72.4
Bahamas,2003,1.89,582,72.9
Bahamas,2004,1.86,633,72.9
Bahamas,2005,1.86,635,73.4
Bahamas,2006,1.87,804,73
Bahamas,2007,1.87,805,73.5
Bahamas,2008,1.88,829,73.5
Bahamas,2009,1.88,815,73.3
Bahamas,2010,1.87,791,73.4
Bahrain,1995,3.1,336,71
Bahrain,1996,3.01,336,71.2
Bahrain,1997,2.93,353,71.4
Bahrain,1998,2.86,330,71.7
Bahrain,1999,2.81,343,72.4
Bahrain,2000,2.77,336,72.6
Bahrain,2001,2.72,354,73.7
Bahrain,2002,2.67,386,74.2
Bahrain,2003,2.6,428,74.2
Bahrain,2004,2.53,444,74.4
Bahrain,2005,2.45,475,75.1
Bahrain,2006,2.37,485,75.7
Bahrain,2007,2.29,513,76.5
Bahrain,2008,2.23,565,77.1
Bahrain,2009,2.18,540,77.8
Bahrain,2010,2.14,634,78.2
Bangladesh,1995,3.73,23.8,62.1
Bangladesh,1996,3.6,24.4,62.9
Bangladesh,1997,3.47,20.4,63.7
Bangladesh,1998,3.35,21.2,64.5
Bangladesh,1999,3.23,22.3,65.2
Bangladesh,2000,3.12,24.2,65.5
Bangladesh,2001,3.01,27.1,66.1
Bangladesh,2002,2.91,29.4,66.5
Bangladesh,2003,2.8,30.4,66.8
Bangladesh,2004,2.7,33.7,67.3
Bangladesh,2005,2.61,37.4,67.6
Bangladesh,2006,2.52,43,67.9
Bangladesh,2007,2.44,47.4,68.1
Bangladesh,2008,2.38,49.1,68.5
Bangladesh,2009,2.32,53.1,69.1
Bangladesh,2010,2.28,58,69.5
Barbados,1995,1.73,306,74
Barbados,1996,1.73,318,74.4
Barbados,1997,1.74,322,74.4
Barbados,1998,1.74,347,74.5
Barbados,1999,1.74,372,74.7
Barbados,2000,1.74,396,74.8
Barbados,2001,1.75,429,75.3
Barbados,2002,1.75,459,75.3
Barbados,2003,1.75,456,75.4
Barbados,2004,1.76,472,75.5
Barbados,2005,1.76,498,75.5
Barbados,2006,1.76,543,75.8
Barbados,2007,1.77,560,76.1
Barbados,2008,1.77,628,76.3
Barbados,2009,1.78,494,76.7
Barbados,2010,1.78,652,76.7
Belarus,1995,1.47,49.2,68.5
Belarus,1996,1.4,66.5,68.6
Belarus,1997,1.34,75,68.5
Belarus,1998,1.29,68.8,68.3
Belarus,1999,1.26,56.6,68
Belarus,2000,1.24,47.9,68.8
Belarus,2001,1.24,58.5,68.3
Belarus,2002,1.24,66.8,67.8
Belarus,2003,1.26,87.5,68.4
Belarus,2004,1.29,115,68.8
Belarus,2005,1.32,154,68.6
Belarus,2006,1.36,168,69.3
Belarus,2007,1.4,207,70.2
Belarus,2008,1.45,243,70.3
Belarus,2009,1.5,199,70.4
Belarus,2010,1.54,248,70.4
Belgium,1995,1.61,1640,76.9
Belgium,1996,1.61,1680,77.2
Belgium,1997,1.61,1440,77.4
Belgium,1998,1.61,1480,77.6
Belgium,1999,1.62,1500,77.7
Belgium,2000,1.63,1380,77.8
Belgium,2001,1.65,1410,78.1
Belgium,2002,1.68,1530,78.3
Belgium,2003,1.7,2250,78.5
Belgium,2004,1.73,2680,79
Belgium,2005,1.76,2750,79.2
Belgium,2006,1.78,2690,79.6
Belgium,2007,1.8,3070,79.6
Belgium,2008,1.81,3560,79.6
Belgium,2009,1.81,3570,79.8
Belgium,2010,1.81,3450,80.1
Belize,1995,4.11,74.1,72
Belize,1996,4.01,58,71.5
Belize,1997,3.91,63.7,71.1
Belize,1998,3.81,62.3,69.8
Belize,1999,3.7,61,70.4
Belize,2000,3.6,69.5,70.3
Belize,2001,3.5,88,70.9
Belize,2002,3.39,87.2,71.3
Belize,2003,3.28,95.4,71.5
Belize,2004,3.18,96.5,71.8
Belize,2005,3.07,105,72.3
Belize,2006,2.98,113,72.6
Belize,2007,2.89,133,73.2
Belize,2008,2.82,138,73.5
Belize,2009,2.76,154,73.5
Belize,2010,2.72,150,73.6
Benin,1995,6.36,8.11,56.7
Benin,1996,6.28,8.24,56.8
Benin,1997,6.2,6.87,57
Benin,1998,6.12,7.74,57.2
Benin,1999,6.04,8.3,57.4
Benin,2000,5.96,6.94,57.5
Benin,2001,5.89,8.58,57.7
Benin,2002,5.82,7.64,58.1
Benin,2003,5.75,11,58.4
Benin,2004,5.69,11.9,58.8
Benin,2005,5.63,13.4,59.2
Benin,2006,5.58,14.3,59.6
Benin,2007,5.52,16,60
Benin,2008,5.47,17,60.5
Benin,2009,5.42,18,61
Benin,2010,5.36,15,61.4
Bhutan,1995,4.6,12.9,63.1
Bhutan,1996,4.4,19.2,63.9
Bhutan,1997,4.2,24.4,64.5
Bhutan,1998,4,25,65.2
Bhutan,1999,3.8,38.2,65.9
Bhutan,2000,3.6,40.9,65.7
Bhutan,2001,3.42,39.3,67.1
Bhutan,2002,3.24,58.5,67.8
Bhutan,2003,3.09,37.3,68.3
Bhutan,2004,2.95,34.9,68.8
Bhutan,2005,2.84,44,69.3
Bhutan,2006,2.73,56.2,69.8
Bhutan,2007,2.64,73.8,70.3
Bhutan,2008,2.55,80.9,70.8
Bhutan,2009,2.46,78.5,71.1
Bhutan,2010,2.38,94.2,71.6
Bolivia,1995,4.58,25.6,63.6
Bolivia,1996,4.47,28.8,64.2
Bolivia,1997,4.37,29.6,64.7
Bolivia,1998,4.27,33.3,65.3
Bolivia,1999,4.16,36.7,65.9
Bolivia,2000,4.06,36.9,66.5
Bolivia,2001,3.96,36,67.2
Bolivia,2002,3.87,37.5,67.6
Bolivia,2003,3.77,30.7,68.1
Bolivia,2004,3.68,32.6,68.5
Bolivia,2005,3.6,38.6,69
Bolivia,2006,3.51,41.3,69.4
Bolivia,2007,3.43,44.4,69.7
Bolivia,2008,3.35,55.6,70.1
Bolivia,2009,3.27,58.4,70.5
Bolivia,2010,3.2,60.6,70.8
Bosnia and Herzegovina,1995,1.71,30,66.1
Bosnia and Herzegovina,1996,1.69,41.5,73.4
Bosnia and Herzegovina,1997,1.66,39.5,74.1
Bosnia and Herzegovina,1998,1.62,40.7,75
Bosnia and Herzegovina,1999,1.56,61.9,75.2
Bosnia and Herzegovina,2000,1.5,60.9,75.3
Bosnia and Herzegovina,2001,1.43,67.1,75.5
Bosnia and Herzegovina,2002,1.37,78.8,75.5
Bosnia and Herzegovina,2003,1.33,123,76
Bosnia and Herzegovina,2004,1.3,139,76.2
Bosnia and Herzegovina,2005,1.29,145,75.9
Bosnia and Herzegovina,2006,1.29,169,76
Bosnia and Herzegovina,2007,1.29,223,75.7
Bosnia and Herzegovina,2008,1.3,294,76.1
Bosnia and Herzegovina,2009,1.3,304,76.1
Bosnia and Herzegovina,2010,1.31,307,76.3
Botswana,1995,3.95,65.3,59.9
Botswana,1996,3.84,65.6,59
Botswana,1997,3.72,77.7,57.9
Botswana,1998,3.61,71.3,56.6
Botswana,1999,3.49,75.5,55.3
Botswana,2000,3.39,94.4,54
Botswana,2001,3.29,126,52.8
Botswana,2002,3.19,145,51.9
Botswana,2003,3.11,180,51.4
Botswana,2004,3.04,346,51.6
Botswana,2005,2.99,311,52.7
Botswana,2006,2.95,291,54.2
Botswana,2007,2.92,386,55.8
Botswana,2008,2.9,407,57
Botswana,2009,2.89,442,58.4
Botswana,2010,2.88,446,60.2
Brazil,1995,2.5,136,69.3
Brazil,1996,2.49,142,69.7
Brazil,1997,2.46,153,70.2
Brazil,1998,2.43,143,70.6
Brazil,1999,2.37,103,71
Brazil,2000,2.3,107,71.4
Brazil,2001,2.23,96.3,71.8
Brazil,2002,2.16,90.7,72.1
Brazil,2003,2.1,94.8,72.3
Brazil,2004,2.03,121,72.6
Brazil,2005,1.98,156,73.1
Brazil,2006,1.93,205,73.5
Brazil,2007,1.88,255,73.7
Brazil,2008,1.85,306,74
Brazil,2009,1.82,320,74.2
Brazil,2010,1.81,466,74.4
Brunei,1995,2.93,375,72.3
Brunei,1996,2.78,519,72.7
Brunei,1997,2.63,515,73.1
Brunei,1998,2.49,482,73.4
Brunei,1999,2.36,458,73.7
Brunei,2000,2.22,477,73.8
Brunei,2001,2.12,432,74
Brunei,2002,2.03,439,74.2
Brunei,2003,1.95,488,74.4
Brunei,2004,1.89,558,74.5
Brunei,2005,1.85,582,74.7
Brunei,2006,1.82,598,74.8
Brunei,2007,1.81,662,74.9
Brunei,2008,1.81,754,75
Brunei,2009,1.82,710,75
Brunei,2010,1.84,748,75.1
Bulgaria,1995,1.34,60.5,71
Bulgaria,1996,1.28,38.5,71
Bulgaria,1997,1.23,45.8,70.4
Bulgaria,1998,1.2,57.8,70.9
Bulgaria,1999,1.18,63.9,71.5
Bulgaria,2000,1.18,59.5,71.6
Bulgaria,2001,1.19,75.5,71.9
Bulgaria,2002,1.22,94.3,72.2
Bulgaria,2003,1.26,125,72.4
Bulgaria,2004,1.3,145,72.5
Bulgaria,2005,1.34,167,72.6
Bulgaria,2006,1.38,169,72.7
Bulgaria,2007,1.42,218,73
Bulgaria,2008,1.45,278,73.3
Bulgaria,2009,1.47,256,73.6
Bulgaria,2010,1.49,237,73.8
Burkina Faso,1995,6.84,4.15,50.5
Burkina Faso,1996,6.8,4.55,50.3
Burkina Faso,1997,6.75,4.48,50.8
Burkina Faso,1998,6.7,4.98,51.4
Burkina Faso,1999,6.65,5.47,51.9
Burkina Faso,2000,6.59,4.32,52.4
Burkina Faso,2001,6.53,4.11,52.8
Burkina Faso,2002,6.47,5.56,53.4
Burkina Faso,2003,6.4,8.17,54
Burkina Faso,2004,6.34,12.2,54.6
Burkina Faso,2005,6.27,15.8,55.3
Burkina Faso,2006,6.19,14.9,55.9
Burkina Faso,2007,6.12,18,56.5
Burkina Faso,2008,6.04,21.6,57.2
Burkina Faso,2009,5.95,19.3,57.8
Burkina Faso,2010,5.87,20.3,58.3
Burundi,1995,7.29,3.01,44.3
Burundi,1996,7.24,2.87,43.9
Burundi,1997,7.18,2.41,43.6
Burundi,1998,7.13,2.33,44.3
Burundi,1999,7.07,2.08,44.6
Burundi,2000,7.01,2.01,44.9
Burundi,2001,6.95,2.3,45.7
Burundi,2002,6.89,2.01,46.6
Burundi,2003,6.82,1.65,47.5
Burundi,2004,6.76,3.44,48.7
Burundi,2005,6.69,4.67,49.7
Burundi,2006,6.62,6.17,53.8
Burundi,2007,6.53,6.65,54.9
Burundi,2008,6.45,6.81,56
Burundi,2009,6.35,6.72,56.9
Burundi,2010,6.26,7.91,57.8
Cambodia,1995,4.69,3.21,58.7
Cambodia,1996,4.5,7.43,58.8
Cambodia,1997,4.33,5.57,59.1
Cambodia,1998,4.15,3.29,59.4
Cambodia,1999,3.97,3.23,59.8
Cambodia,2000,3.81,3.81,60.2
Cambodia,2001,3.65,5.27,60.8
Cambodia,2002,3.52,6.58,61.5
Cambodia,2003,3.41,8.42,62.1
Cambodia,2004,3.31,9.26,62.9
Cambodia,2005,3.23,7.22,63.7
Cambodia,2006,3.16,7.99,64.5
Cambodia,2007,3.09,10.3,65.3
Cambodia,2008,3.02,12.7,66
Cambodia,2009,2.95,15,66.6
Cambodia,2010,2.88,16.8,67.1
Cameroon,1995,5.98,5.86,56.2
Cameroon,1996,5.89,5.97,55.9
Cameroon,1997,5.8,6.1,55.6
Cameroon,1998,5.72,5.15,55.3
Cameroon,1999,5.65,5.45,55.1
Cameroon,2000,5.58,5.53,54.8
Cameroon,2001,5.52,6.78,54.7
Cameroon,2002,5.48,8.56,54.6
Cameroon,2003,5.43,10.8,54.6
Cameroon,2004,5.39,10.4,54.6
Cameroon,2005,5.35,10.6,54.9
Cameroon,2006,5.31,10.8,55.3
Cameroon,2007,5.27,11.9,55.7
Cameroon,2008,5.22,13.1,56.3
Cameroon,2009,5.17,15.7,56.9
Cameroon,2010,5.11,18.2,57.7
Canada,1995,1.64,1300,78
Canada,1996,1.61,1290,78.2
Canada,1997,1.58,1310,78.5
Canada,1998,1.56,1300,78.7
Canada,1999,1.54,1360,78.9
Canada,2000,1.52,1470,79.2
Canada,2001,1.52,1500,79.5
Canada,2002,1.52,1560,79.6
Canada,2003,1.53,1880,79.8
Canada,2004,1.55,2130,80.1
Canada,2005,1.57,2430,80.2
Canada,2006,1.6,2730,80.6
Canada,2007,1.62,3050,80.7
Canada,2008,1.63,3260,80.8
Canada,2009,1.64,3190,81.1
Canada,2010,1.64,3680,81.4
Cape Verde,1995,4.54,50.7,69.2
Cape Verde,1996,4.38,47.3,70.4
Cape Verde,1997,4.22,44.5,70.6
Cape Verde,1998,4.07,47.5,70.8
Cape Verde,1999,3.91,46,70.7
Cape Verde,2000,3.76,42,71.2
Cape Verde,2001,3.62,48.2,71.5
Cape Verde,2002,3.48,51.9,71.7
Cape Verde,2003,3.36,59.8,72
Cape Verde,2004,3.24,78.6,72.3
Cape Verde,2005,3.13,75.6,72.5
Cape Verde,2006,3.02,95.1,72.9
Cape Verde,2007,2.93,103,73
Cape Verde,2008,2.83,114,73.7
Cape Verde,2009,2.75,111,74
Cape Verde,2010,2.67,116,74.3
Central African Republic,1995,5.62,4.86,45.4
Central African Republic,1996,5.59,3.48,45
Central African Republic,1997,5.56,4.05,44.7
Central African Republic,1998,5.54,3.4,44.6
Central African Republic,1999,5.52,3.9,44.4
Central African Republic,2000,5.5,4.13,44.3
Central African Republic,2001,5.48,3.82,44.3
Central African Republic,2002,5.46,4.39,44.4
Central African Republic,2003,5.44,4.72,44.7
Central African Republic,2004,5.41,4.9,44.9
Central African Republic,2005,5.38,4.42,45.2
Central African Republic,2006,5.35,4.84,45.6
Central African Republic,2007,5.32,5.72,46
Central African Republic,2008,5.29,6.16,46.7
Central African Republic,2009,5.25,6.25,47.4
Central African Republic,2010,5.22,6.44,48
Chad,1995,7.43,4.14,53.2
Chad,1996,7.43,4.55,52.7
Chad,1997,7.42,4.04,52.5
Chad,1998,7.41,3.77,52.3
Chad,1999,7.38,3.84,52.3
Chad,2000,7.35,4.49,52.1
Chad,2001,7.32,4.81,52.3
Chad,2002,7.27,5.59,52.5
Chad,2003,7.21,8.09,52.6
Chad,2004,7.15,8.45,53
Chad,2005,7.07,10.5,53.6
Chad,2006,6.99,7.83,53.7
Chad,2007,6.9,6.6,54.6
Chad,2008,6.8,6.04,55.1
Chad,2009,6.7,5.61,55.8
Chad,2010,6.59,7.65,56.4
Chile,1995,2.31,127,75.1
Chile,1996,2.27,142,75.4
Chile,1997,2.23,156,75.8
Chile,1998,2.18,163,76
Chile,1999,2.14,158,76.3
Chile,2000,2.11,169,76.9
Chile,2001,2.07,159,76.8
Chile,2002,2.05,157,77.3
Chile,2003,2.02,134,77.3
Chile,2004,2,167,77.5
Chile,2005,1.98,201,77.9
Chile,2006,1.96,249,78.2
Chile,2007,1.95,295,78.4
Chile,2008,1.93,337,78.8
Chile,2009,1.9,382,78.6
Chile,2010,1.88,456,78.6
China,1995,1.64,10.7,70
China,1996,1.57,12.3,70.4
China,1997,1.53,13.7,70.8
China,1998,1.5,14.8,71.3
China,1999,1.49,15.8,71.7
China,2000,1.5,16.6,72.1
China,2001,1.51,16.8,72.6
China,2002,1.52,19.4,73
China,2003,1.54,22.1,73.4
China,2004,1.55,26.6,73.7
China,2005,1.57,31.2,74.2
China,2006,1.57,38,74.9
China,2007,1.58,53.7,75.4
China,2008,1.58,78.2,75.4
China,2009,1.59,100,75.7
China,2010,1.59,118,75.8
Colombia,1995,2.66,109,72
Colombia,1996,2.6,149,72.3
Colombia,1997,2.54,175,73.2
