Location,Data_Value,Deaths,latitude,longitude
AK,19.1,141.5,63.588753,-154.493062
AL,19.2,170.4,32.318231,-86.902298
AR,22.7,168.8,35.20105,-91.831833
AZ,14,131.9,34.048928,-111.093731
CA,11.2,135,36.778261,-119.417932
CO,14.5,127.6,39.550051,-105.782067
CT,12.2,134.1,41.603221,-73.087749
DE,16.5,159.4,38.910832,-75.52767
FL,14.5,141.7,27.664827,-81.515754
GA,16.1,152.4,32.157435,-82.907123
HI,13.4,123.5,19.898682,-155.665857
IA,16.6,155.3,41.878003,-93.097702
ID,14.7,149.5,44.068202,-114.742041
IL,15.5,153.5,40.633125,-89.398528
IN,21.1,165.7,40.551217,-85.602364
KS,17.2,156.4,39.011902,-98.484246
KY,23.4,181.6,37.839333,-84.270018
LA,20.5,169,31.244823,-92.145024
MA,13.4,142.8,42.407211,-71.382437
MD,12.5,149.9,39.045755,-76.641271
ME,17.8,162.1,45.253783,-69.445469
MI,18.9,161.1,44.314844,-85.602364
MN,15.1,143.1,46.729553,-94.6859
MO,19.4,165.3,37.964253,-91.831833
MS,20.5,179.7,32.354668,-89.398528
MT,18,140.7,46.879682,-110.362566
NC,17.4,154.2,35.759573,-79.0193
ND,19.1,145.2,47.551493,-101.002012
NE,16,150.5,41.492537,-99.901813
NH,15.6,143.7,43.193852,-71.572395
NJ,13.1,141.3,40.058324,-74.405661
NM,15.2,136.4,34.97273,-105.032363
NV,15.7,146.5,38.80261,-116.419389
NY,12.8,138.2,43.299428,-74.217933
OH,20.5,165.2,40.417287,-82.907123
OK,19.7,178.1,35.007752,-97.092877
OR,15.6,150.6,43.804133,-120.554201
PA,17,156.6,41.203322,-77.194525
RI,14.6,151.6,41.580095,-71.477429
SC,18,157.3,33.836081,-81.163725
SD,19,145.2,43.969515,-99.901813
TN,20.7,168,35.517491,-86.580447
TX,14.4,142.9,31.968599,-99.901813
UT,9,120,39.32098,-111.093731
VA,14.9,149.3,37.431573,-78.656894
VT,13.7,156,44.558803,-72.577841
WA,12,145.3,47.751074,-120.740139
WI,16.4,151.5,43.78444,-88.787868
WV,25.2,179.5,38.597626,-80.454903
WY,18.8,140.6,43.075968,-107.290284