Date,Out of Tokyo,Wuhan,Changsha,Searching,Unknown,Tokyo
0,,2,,,,
6,,,1,,,
20,,,,,,1
21,,,,,,2
22,,,,,,8
23,1,,,,,4
25,,,,,,3
26,,,,,,3
28,,,,,,3
29,,,,,,1
31,,,,,,3
33,,,,,,3
34,1,,,,,
35,,,,,,1
36,,,,,,2
38,,,,,,1
39,,,,,,4
40,,,,,,8
41,,,,,,6
42,1,,,,,5
45,,,,,,3
46,,,,,,6
47,,,,,,2
48,,,,,,2
49,2,,,,,8
50,,,,,,3
52,,,,,,12
53,2,,,,,7
54,,,,,,7
55,1,,,,,10
56,,,,,,7
57,1,,,,,2
58,,,,,,16
59,1,,,,,17
60,1,,,,,40
61,3,,,,1,42
62,1,,,,,39
63,2,,,29,,33
64,2,,,27,,43
65,1,,,5,7,77
67,,,,,2,65
68,2,,,23,,73
69,,,,,17,75
70,5,,,1,2,110
71,5,,,,7,129
72,4,,,,,81
73,3,,,,3,81
74,3,,,,28,125
75,4,,,,23,156
76,3,,,,7,189
77,2,,,,16,180
78,2,,,,87,85
79,6,,,,1,93
80,2,,,,4,153
81,3,,,,3,121
82,5,,,,8,138
83,9,,,,14,183
84,1,,,,10,175
85,5,,,,2,102
86,3,,,,1,97
87,1,,,,6,116
88,14,,,,1,108
89,5,,,,14,115
90,5,,,,3,162
91,7,,,,3,109
92,3,,,,15,64
93,1,,,,4,36
94,2,,,,26,85
95,4,,,,,43
96,6,,,,,53
97,6,,,,4,155
98,8,,,,9,137
99,2,,,,5,86
100,3,,,,,84
101,5,,,,3,49
102,4,,,,1,32
103,3,,,,,20
104,3,,,,1,35
105,2,,,,,34
106,1,,,,,21
107,1,,,,,14
108,,,,,,27
109,,,,,,10
110,,,,,,30
111,,,,,,9
112,1,,,,,13
113,,,,,,5
114,2,,,,,8
115,,,,,,5
116,,,,,,5
117,,,,,,11
118,,,,,,3
119,,,,,,2
120,,,,,,14
121,1,,,,,7
122,,,,,,10
123,,,,,,11
124,1,,,,,14
125,3,,,,,18
126,,,,,,14
127,,,,,,5
128,1,,,,,12
129,2,,,,,32
130,1,,,,,11
131,1,,,,,27
132,1,,,,,19
133,,,,,,26
134,,,,,,14
135,,,,,,13
136,,,,,,12
137,1,,,,,17
138,,,,,,22
139,5,,,,,20
140,1,,,,,23
141,1,,,,,46
142,1,,,,,47
143,1,,,,,26
144,,,,,,16
145,3,,,,,38
146,3,,,,,32
147,1,,,,,38
148,1,,,,,33
149,2,,,,,27
150,1,,,,,30
151,8,,,,,47
152,2,,,,,46
153,2,,,,,52
154,3,,,,,54
155,4,,,,,56
156,3,,,,,55
157,5,,,,,49
158,6,,,,,61
159,7,,,,,100
160,9,,,,,115
161,9,,,,,122
162,5,,,,,106
163,3,,,,,99
164,7,,,,,99
165,2,,,,,73
166,9,,,,,215
167,13,,,,,230
168,6,,,,,200
169,6,,,,,200
170,10,,,,,109
171,4,,,,,139
172,17,,,,,148
173,11,,,,,275
174,9,,,,,284
175,10,,,,,280
176,10,,,,,178
177,16,,,,,152
178,21,,,,,216
179,6,,,,,232
180,15,,,,,351
181,7,,,,,253
182,18,,,,,277
183,11,,,,,228
184,7,,,,,124
185,10,,,,,256
186,14,,,,,236
187,18,,,,,349
188,24,,,,,439
189,31,,,,,441
190,9,,,,,283
191,15,,,,,243
192,1,,,,,308
193,3,,,,,260
194,18,,,,,342
195,20,,,,,442
196,27,,,,,402
197,12,,,,,319
198,10,,,,,187
199,13,,,,,175
200,10,,,,,212
201,11,,,,,195
202,10,,,,,379
203,23,,,,,362
204,10,,,,,250
205,8,,,,,153
206,13,,,,,194
207,7,,,,,179
208,14,,,,,325
209,9,,,,,249
210,23,,,,,233
211,14,,,,,198
212,4,,,,,91
213,11,,,,,171
214,10,,,,,226
215,14,,,,,236
216,11,,,,,215
217,14,,,,,233
218,6,,,,,142
219,6,,,,,94
220,8,,,,,162
221,6,,,,,135
222,9,,,,,202
223,5,,,,,131
224,3,,,,,178
225,13,,,,,103
226,4,,,,,73
227,11,,,,,159
228,3,,,,,146
229,12,,,,,264
230,10,,,,,177
231,13,,,,,213
232,11,,,,,135
233,6,,,,,74
234,9,,,,,182
235,10,,,,,153
236,8,,,,,163
237,13,,,,,207
238,13,,,,,205
239,10,,,,,152
240,4,,,,,94
241,6,,,,,82
242,8,,,,,51
243,16,,,,,177
244,13,,,,,182
245,15,,,,,254
246,11,,,,,133
247,6,,,,,72
248,16,,,,3,193
249,13,,,,,181
250,14,,,,,221
251,8,,,,,188
252,14,,,,,191
253,8,,,,1,98
254,1,,,,,65
255,4,,,,1,172
256,10,,,,,131
257,15,,,,,233
258,17,,,,,186
259,14,,,,,234
260,6,,,,,140
261,4,,,,,74
262,12,,,,,154
263,13,,,,,164
264,13,,,,,271
265,12,,,,,171
266,12,,,,,223
267,5,,,,,127
268,8,,,,,70
269,7,,,,,132
270,15,,,,,130
271,11,,,,1,173
272,32,,,,,154
273,14,,,,,189
274,4,,,,,120
275,23,,,,,79
276,7,,,,,126
277,1,,,,,24
278,,,,,,
,1531,2,1,85,344,28322