Date,Unknown,Wuhan,Changsha,Searching,Tokyo,Out of Tokyo
0,,2,,,,
6,,,1,,,
20,,,,,1,
21,,,,,2,
22,,,,,8,
23,,,,,4,1
25,,,,,3,
26,,,,,3,
28,,,,,3,
29,,,,,1,
31,,,,,3,
33,,,,,3,
34,,,,,,1
35,,,,,1,
36,,,,,2,
38,,,,,1,
39,,,,,4,
40,,,,,8,
41,,,,,6,
42,,,,,5,1
45,,,,,3,
46,,,,,6,
47,,,,,2,
48,,,,,2,
49,,,,,8,2
50,,,,,3,
52,,,,,12,
53,,,,,7,2
54,,,,,7,
55,,,,,10,1
56,,,,,7,
57,,,,,2,1
58,,,,,16,
59,,,,,17,1
60,,,,,40,1
61,1,,,,42,3
62,,,,,39,1
63,,,,29,33,2
64,,,,27,43,2
65,7,,,5,77,1
67,2,,,,65,
68,,,,23,73,2
69,17,,,,75,
70,2,,,1,110,5
71,7,,,,129,5
72,,,,,81,4
73,3,,,,81,3
74,28,,,,125,3
75,23,,,,156,4
76,7,,,,189,3
77,16,,,,180,2
78,87,,,,85,2
79,1,,,,93,6
80,4,,,,153,2
81,3,,,,121,3
82,8,,,,138,5
83,14,,,,183,9
84,10,,,,175,1
85,2,,,,102,5
86,1,,,,97,3
87,6,,,,116,1
88,1,,,,108,14
89,14,,,,115,5
90,3,,,,162,5
91,3,,,,109,7
92,15,,,,64,3
93,4,,,,36,1
94,26,,,,85,2
95,,,,,43,4
96,,,,,53,6
97,4,,,,155,6
98,9,,,,137,8
99,5,,,,86,2
100,,,,,84,3
101,3,,,,49,5
102,1,,,,32,4
103,,,,,20,3
104,1,,,,35,3
105,,,,,34,2
106,,,,,21,1
107,,,,,14,1
108,,,,,27,
109,,,,,10,
110,,,,,30,
111,,,,,9,
112,,,,,13,1
113,,,,,5,
114,,,,,8,2
115,,,,,5,
116,,,,,5,
117,,,,,11,
118,,,,,3,
119,,,,,2,
120,,,,,14,
121,,,,,7,1
122,,,,,10,
123,,,,,11,
124,,,,,14,1
125,,,,,18,3
126,,,,,14,
127,,,,,5,
128,,,,,12,1
129,,,,,32,2
130,,,,,11,1
131,,,,,27,1
132,,,,,19,1
133,,,,,26,
134,,,,,14,
135,,,,,13,
136,,,,,12,
137,,,,,17,1
138,,,,,22,
139,,,,,20,5
140,,,,,23,1
141,,,,,46,1
142,,,,,47,1
143,,,,,26,1
144,,,,,16,
145,,,,,38,3
146,,,,,32,3
147,,,,,38,1
148,,,,,33,1
149,,,,,27,2
150,,,,,30,1
151,,,,,47,8
152,,,,,46,2
153,,,,,52,2
154,,,,,54,3
155,,,,,56,4
156,,,,,55,3
157,,,,,49,5
158,,,,,61,6
159,,,,,100,7
160,,,,,115,9
161,,,,,122,9
162,,,,,106,5
163,,,,,99,3
164,,,,,99,7
165,,,,,73,2
166,,,,,215,9
167,,,,,230,13
168,,,,,200,6
169,,,,,200,6
170,,,,,109,10
171,,,,,139,4
172,,,,,148,17
173,,,,,275,11
174,,,,,284,9
175,,,,,280,10
176,,,,,178,10
177,,,,,152,16
178,,,,,216,21
179,,,,,232,6
180,,,,,351,15
181,,,,,253,7
182,,,,,277,18
183,,,,,228,11
184,,,,,124,7
185,,,,,256,10
186,,,,,236,14
187,,,,,349,18
188,,,,,439,24
189,,,,,441,31
190,,,,,283,9
191,,,,,243,15
192,,,,,308,1
193,,,,,260,3
194,,,,,342,18
195,,,,,442,20
196,,,,,402,27
197,,,,,319,12
198,,,,,187,10
199,,,,,175,13
200,,,,,212,10
201,,,,,195,11
202,,,,,379,10
203,,,,,362,23
204,,,,,250,10
205,,,,,153,8
206,,,,,194,13
207,,,,,179,7
208,,,,,325,14
209,,,,,249,9
210,,,,,233,23
211,,,,,198,14
212,,,,,91,4
213,,,,,171,11
214,,,,,226,10
215,,,,,236,14
216,,,,,215,11
217,,,,,233,14
218,,,,,142,6
219,,,,,94,6
220,,,,,162,8
221,,,,,135,6
222,,,,,202,9
223,,,,,131,5
224,,,,,178,3
225,,,,,103,13
226,,,,,73,4
227,,,,,159,11
228,,,,,146,3
229,,,,,264,12
230,,,,,177,10
231,,,,,213,13
232,,,,,135,11
233,,,,,74,6
234,,,,,182,9
235,,,,,153,10
236,,,,,163,8
237,,,,,207,13
238,,,,,205,13
239,,,,,152,10
240,,,,,94,4
241,,,,,82,6
242,,,,,51,8
243,,,,,177,16
244,,,,,182,13
245,,,,,254,15
246,,,,,133,11
247,,,,,72,6
248,3,,,,193,16
249,,,,,181,13
250,,,,,221,14
251,,,,,188,8
252,,,,,191,14
253,1,,,,98,8
254,,,,,65,1
255,1,,,,172,4
256,,,,,131,10
257,,,,,233,15
258,,,,,186,17
259,,,,,234,14
260,,,,,140,6
261,,,,,74,4
262,,,,,154,12
263,,,,,164,13
264,,,,,271,13
265,,,,,171,12
266,,,,,223,12
267,,,,,127,5
268,,,,,70,8
269,,,,,132,7
270,,,,,130,15
271,1,,,,173,11
272,,,,,154,32
273,,,,,189,14
274,,,,,120,4
275,,,,,79,23
276,,,,,126,7
277,,,,,24,1
278,,,,,,
,344,2,1,85,28322,1531