Year,European Union,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa,World,Latin America & Caribbean,East Asia & Pacific
2001,24855,251880,29637,2526216,2435790,6650171,299016,938331
2002,24048,243359,29577,2442280,2407899,6449871,283218,883487
2003,23356,236017,29584,2360315,2377459,6255328,268239,831786
2004,22690,229709,29601,2280741,2345962,6074943,254218,789918
2005,22007,224310,29558,2199734,2313011,5886419,241159,740148
2006,21280,219854,29402,2118223,2282480,5712815,229221,700773
2007,20533,216151,29096,2033977,2250145,5540583,218508,664859
2008,19795,213015,28634,1946870,2218669,5376311,208904,637015
2009,19084,210555,28039,1857858,2188277,5206676,200374,602676
2010,18388,208837,27368,1768337,2161426,5054562,199888,573951
2011,17712,207617,26670,1681033,2134590,4892864,185669,546493
2012,17056,206538,26007,1597597,2110241,4746532,179388,519999
2013,16436,204906,25413,1519449,2089280,4609580,173528,494439
2014,15866,202697,24908,1447048,2069826,4480240,168006,469684
2015,15379,199876,24499,1380565,2049955,4357263,163037,445889
2016,14975,196083,24189,1318896,2028743,4242591,163050,422826
2017,14632,191689,23947,1261364,2006569,4123282,154787,400617
2018,14296,187308,23700,1207447,1982588,4010099,149490,379536
2019,13942,182359,23418,1157349,1960819,3904341,144373,360014
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,Year,,,,,